ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_status,total_aeronaves_envolvidas,ocorrencia_saida_pista,aeronave_matricula,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total,ocorrencia_tipo,ocorrencia_tipo_categoria,taxonomia_tipo_icao,fator_nome,fator_aspecto,fator_condicionante,fator_area,recomendacao_conteudo,recomendacao_status,recomendacao_destinatario_sigla,recomendacao_destinatario
INCIDENTE,LONDRINA,PR,BRASIL,SBLO,01/01/2007,00:00:00,,1,NÃO,PTVQL,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,1993.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,PARTIDA DO MOTOR,PRIVADA,***,0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,,,,,,,,
INCIDENTE,LONDRINA,PR,BRASIL,***,01/01/2007,21:10:00,,1,NÃO,PTRON,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711ST,P28T,PISTÃO,MONOMOTOR,1315,1315,4.0,1982.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,PRIVADA,NENHUM,0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,,,,,,,,
ACIDENTE,MOGI DAS CRUZES,SP,BRASIL,***,01/01/2009,15:35:00,FINALIZADA,1,NÃO,PTLDO,AVIÃO,NORTH AMERICAN,AT-6D,T6,PISTÃO,MONOMOTOR,2404,2404,2.0,1942.0,BRASIL,BRASIL,AVIÃO,ESPECIALIZADA,CAMPO DE MARTE - SP,SANTOS DUMONT,ESPECIALIZADA,ESPECIALIZADA,SUBSTANCIAL,0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,SUPERVISÃO GERENCIAL,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,"Dar ampla divulgação aos operadores de aeronaves antigas e clássicas, ainda em voo, do conteúdo do presente relatório, enfatizando os aspectos de operação e manutenção de aeronaves.",***,ABAAC,ASSOCIAÇÃO BRASILEIRA DE AERONAVES ANTIGAS E CLÁSSICAS
INCIDENTE,VÁRZEA GRANDE,MT,BRASIL,SBCY,01/01/2011,11:00:00,FINALIZADA,1,NÃO,PRIOC,AVIÃO,BOEING COMPANY,727-264,B722,JATO,TRIMOTOR,88360,88360,5.0,1983.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,LEVE,0,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,,,,,,,,
INCIDENTE GRAVE,RIBEIRÃO PRETO,SP,BRASIL,SBRP,01/01/2011,19:35:00,FINALIZADA,1,SIM,PRPSK,AVIÃO,EMBRAER,EMB-145LR,E145,JATO,BIMOTOR,21990,21990,54.0,2001.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,REGULAR,NENHUM,0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,,,,,"Reforçar a instrução para as suas tripulações técnicas, visando deixar claro o conceito de *aproximação estabilizada*.",ADOTADA,PASSAREDO,PASSAREDO LINHAS AÉREAS
INCIDENTE,RIO DE JANEIRO,RJ,BRASIL,SBGL,01/01/2013,04:45:00,FINALIZADA,1,NÃO,PRGUH,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,79015,79015,187.0,2011.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,NENHUM,0,OUTROS,OUTROS,OTHR,,,,,,,,
INCIDENTE GRAVE,SALVADOR,BA,BRASIL,SBSV,01/01/2015,11:40:00,FINALIZADA,2,NÃO,PTSHY,AVIÃO,EMBRAER,EMB-110P1,E110,TURBOÉLICE,BIMOTOR,5670,5670,19.0,1987.0,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,DEPUTADO LUÍS EDUARDO MAGALHÃES,DEPUTADO LUÍS EDUARDO MAGALHÃES,TÁXI,TÁXI AÉREO,LEVE,0,COLISÃO COM AERONAVE NO SOLO,COLISÃO NO SOLO | COLISÃO COM AERONAVE NO SOLO,GCOL,,,,,Orientar o operador da aeronave para que o mesmo cobre dos seus pilotos o fiel cumprimento da sinalização horizontal dos pátios de manobra.,ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
ACIDENTE,UBATUBA,SP,BRASIL,***,01/01/2019,13:55:00,ATIVA,1,NÃO,PRRMZ,HELICÓPTERO,ROBINSON HELICOPTER,R44 II,R44,PISTÃO,MONOMOTOR,1134,1134,4.0,2010.0,BRASIL,BRASIL,HELICÓPTERO,MÚLTIPLA,GASTÃO MADEIRA,GASTÃO MADEIRA,CRUZEIRO,TÁXI AÉREO,SUBSTANCIAL,1,COM ROTOR,FALHA OU MAU FUNCIONAMENTO DO MOTOR | COM ROTOR,SCF-PP,PROCESSO DECISÓRIO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO,"Atuar junto às Organizações de Manutenção Airtech Soluções Aeronáuticas Ltda. (COM N° 1604-31) e Estrela Dourada Manutenção Aeronáutica (COM nº 1601-42), no sentido de averiguar a adequação dos procedimentos executados, notadamente no que se referem às inspeções periódicas e revisões gerais executadas nos magnetos Continental tipo S6LSC-204T, PN 10-600646-201.",AGUARDANDO RESPOSTA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
ACIDENTE,PORTO BELO,SC,BRASIL,SDEN,01/01/2019,14:38:00,FINALIZADA,1,SIM,PPMAX,AVIÃO,PIPER AIRCRAFT,PA-46-350P,PA46,PISTÃO,MONOMOTOR,1950,1950,6.0,2004.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,TORRES,COSTA ESMERALDA,POUSO,PRIVADA,SUBSTANCIAL,0,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,MANUTENÇÃO DA AERONAVE,DESEMPENHO DO SER HUMANO,MANUTENÇÃO DA AERONAVE,FATOR OPERACIONAL,,,,
INCIDENTE GRAVE,TUCURUÍ,PA,BRASIL,***,01/01/2019,20:10:00,FINALIZADA,1,NÃO,PUBEL,ULTRALEVE,***,***,ULAC,***,SEM TRAÇÃO,0,0,0.0,0.0,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,MARINA DO CARAIPÉ,MARINA DO CARAIPÉ,CRUZEIRO,EXPERIMENTAL,***,0,INDETERMINADO,INDETERMINADO,UNK,,,,,,,,
